x,y,z
0.057052580000000006,-0.04356492,1.00251884
0.05634839999999999,-0.040939079999999996,1.0024433099999999
0.05498777999999999,-0.03975834,1.00232787
0.056527759999999996,-0.040379380000000006,1.00254864
0.06818485999999999,-0.05009701999999999,1.00356565
0.07997151999999999,-0.06469376,1.00532106
0.09913732,-0.07865061999999999,1.0080692400000002
0.11982032,-0.09187104,1.01142473
0.13488096,-0.10181196,1.01447827
0.13956432,-0.10478712,1.01537859
0.1438057,-0.1086919,1.0163704500000001
0.14089842,-0.10991994,1.01601153
0.14427705999999998,-0.1139297,1.01715475
0.14335837999999998,-0.11286511999999999,1.01676544
0.14496160000000002,-0.11075664,1.0167923
0.14152686,-0.10485860000000001,1.01555852
0.13515146,-0.09795846,1.0138696699999998
0.14372656,-0.10207912000000001,1.01564511
0.14072533999999998,-0.1030393,1.0153506300000001
0.13997568,-0.09662166,1.0145349600000002
0.14168461999999998,-0.09600610000000001,1.01470441
0.14409677999999998,-0.09704834,1.0152637100000002
0.14404554,-0.09904139999999999,1.015517
0.13999952000000002,-0.10299536,1.01518195
0.13823192,-0.10846244,1.01566675
0.1333726,-0.10765669999999998,1.0146562000000001
0.12720230000000002,-0.10654419999999999,1.0138026
0.12495892000000001,-0.10042364,1.01279761
0.12521664000000002,-0.10234808000000001,1.01312042
0.12760631999999997,-0.10766207999999998,1.01404506
0.1326446,-0.11990819999999999,1.01626205
0.13854310000000003,-0.13145328,1.01839904
0.14215096,-0.13161308,1.01899432
0.14445360000000002,-0.13216972,1.0193949500000001
0.15248838,-0.13111778000000002,1.0202771899999998
0.16009356,-0.14995024,1.02442832
0.1666092,-0.16241106,1.0274908000000003
0.16047286,-0.16250198,1.0263547499999999
0.15481279999999997,-0.1510349,1.0236147999999998
0.15156972,-0.13562648,1.02102791
0.13977298,-0.08353595999999999,1.0134172399999999
0.12521256,0.002149920000000003,1.0077465
0.11202988,0.09964706000000001,1.0113123599999998
0.11717626,0.18917524,1.0250266799999999
0.12790764000000002,0.29309548,1.0526182999999998
0.12402835999999999,0.39205547999999996,1.0884010700000002
0.11528580000000004,0.48024100000000003,1.1304828199999999
